fsw,cap,ind,pl_c
20000,0.000189947,0.000763158,0.000179666
20000,0.000189947,0.000810526,0.000159562
20000,0.000189947,0.000857895,0.000142667
20000,0.000189947,0.000905263,0.000128334
20000,0.000189947,0.000952632,0.000116078
20000,0.000189947,0.001,0.000105503
20000,0.000225684,0.0001,0.00847538
20000,0.000225684,0.000147368,0.00393135
20000,0.000225684,0.000194737,0.0022602
20000,0.000225684,0.000242105,0.00146706
20000,0.000225684,0.000289474,0.00102926
20000,0.000225684,0.000336842,0.000762142
20000,0.000225684,0.000384211,0.000587364
20000,0.000225684,0.000431579,0.000466634
20000,0.000225684,0.000478947,0.000379773
20000,0.000225684,0.000526316,0.000315296
20000,0.000225684,0.000573684,0.000265928
20000,0.000225684,0.000621053,0.00022739
20000,0.000225684,0.000668421,0.000196662
20000,0.000225684,0.000715789,0.000171824
20000,0.000225684,0.000763158,0.000151426
20000,0.000225684,0.000810526,0.000134473
20000,0.000225684,0.000857895,0.000120243
20000,0.000225684,0.000905263,0.000108165
20000,0.000225684,0.000952632,9.78E-05
20000,0.000225684,0.001,8.89E-05
20000,0.000261421,0.0001,0.00732221
20000,0.000261421,0.000147368,0.00339695
20000,0.000261421,0.000194737,0.0019531
20000,0.000261421,0.000242105,0.00126766
20000,0.000261421,0.000289474,0.000889382
20000,0.000261421,0.000336842,0.000658604
20000,0.000261421,0.000384211,0.000507555
20000,0.000261421,0.000431579,0.000403246
20000,0.000261421,0.000478947,0.000328196
20000,0.000261421,0.000526316,0.000272447
20000,0.000261421,0.000573684,0.000229803
20000,0.000261421,0.000621053,0.000196479
20000,0.000261421,0.000668421,0.000169929
20000,0.000261421,0.000715789,0.000148479
20000,0.000261421,0.000763158,0.000130858
20000,0.000261421,0.000810526,0.000116205
20000,0.000261421,0.000857895,0.000103898
20000,0.000261421,0.000905263,9.35E-05
20000,0.000261421,0.000952632,8.45E-05
20000,0.000261421,0.001,7.68E-05
20000,0.000297158,0.0001,0.0064463
20000,0.000297158,0.000147368,0.00299058
20000,0.000297158,0.000194737,0.00171935
20000,0.000297158,0.000242105,0.00111605
20000,0.000297158,0.000289474,0.000782935
20000,0.000297158,0.000336842,0.000579822
20000,0.000297158,0.000384211,0.000446847
20000,0.000297158,0.000431579,0.000355009
20000,0.000297158,0.000478947,0.00028893
20000,0.000297158,0.000526316,0.000239851
20000,0.000297158,0.000573684,0.000202313
20000,0.000297158,0.000621053,0.000172987
20000,0.000297158,0.000668421,0.000149607
20000,0.000297158,0.000715789,0.000130717
20000,0.000297158,0.000763158,0.000115198
20000,0.000297158,0.000810526,0.000102311
20000,0.000297158,0.000857895,9.15E-05
20000,0.000297158,0.000905263,8.23E-05
20000,0.000297158,0.000952632,7.44E-05
20000,0.000297158,0.001,6.76E-05
20000,0.000332895,0.0001,0.00575756
20000,0.000332895,0.000147368,0.00267106
20000,0.000332895,0.000194737,0.00153561
20000,0.000332895,0.000242105,0.000996782
20000,0.000332895,0.000289474,0.000699266
20000,0.000332895,0.000336842,0.0005179
20000,0.000332895,0.000384211,0.000399088
20000,0.000332895,0.000431579,0.000317079
20000,0.000332895,0.000478947,0.000258072
20000,0.000332895,0.000526316,0.000214236
20000,0.000332895,0.000573684,0.000180703
20000,0.000332895,0.000621053,0.000154508
20000,0.000332895,0.000668421,0.000133625
20000,0.000332895,0.000715789,0.000116756
20000,0.000332895,0.000763158,0.000102895
20000,0.000332895,0.000810526,9.14E-05
20000,0.000332895,0.000857895,8.17E-05
20000,0.000332895,0.000905263,7.35E-05
20000,0.000332895,0.000952632,6.65E-05
20000,0.000332895,0.001,6.04E-05
20000,0.000368632,0.0001,0.00520132
20000,0.000368632,0.000147368,0.00241309
20000,0.000368632,0.000194737,0.00138738
20000,0.000368632,0.000242105,0.000900496
20000,0.000368632,0.000289474,0.000631814
20000,0.000368632,0.000336842,0.000467888
20000,0.000368632,0.000384211,0.000360571
20000,0.000368632,0.000431579,0.00028647
20000,0.000368632,0.000478947,0.00023316
20000,0.000368632,0.000526316,0.000193558
20000,0.000368632,0.000573684,0.000163261
20000,0.000368632,0.000621053,0.000139592
20000,0.000368632,0.000668421,0.000120724
20000,0.000368632,0.000715789,0.000105481
20000,0.000368632,0.000763158,9.30E-05
20000,0.000368632,0.000810526,8.26E-05
20000,0.000368632,0.000857895,7.38E-05
20000,0.000368632,0.000905263,6.64E-05
20000,0.000368632,0.000952632,6.01E-05
20000,0.000368632,0.001,5.46E-05
20000,0.000404368,0.0001,0.00474295
20000,0.000404368,0.000147368,0.00220064
20000,0.000404368,0.000194737,0.00126516
20000,0.000404368,0.000242105,0.000821257
20000,0.000404368,0.000289474,0.00057616
20000,0.000404368,0.000336842,0.00042669
20000,0.000404368,0.000384211,0.000328827
20000,0.000404368,0.000431579,0.000261245
20000,0.000404368,0.000478947,0.000212635
20000,0.000404368,0.000526316,0.000176518
20000,0.000404368,0.000573684,0.000148879
20000,0.000404368,0.000621053,0.000127298
20000,0.000404368,0.000668421,0.000110095
20000,0.000404368,0.000715789,9.62E-05
20000,0.000404368,0.000763158,8.48E-05
20000,0.000404368,0.000810526,7.53E-05
20000,0.000404368,0.000857895,6.73E-05
20000,0.000404368,0.000905263,6.06E-05
20000,0.000404368,0.000952632,5.48E-05
20000,0.000404368,0.001,4.98E-05
20000,0.000440105,0.0001,0.00435932
20000,0.000440105,0.000147368,0.00202268
20000,0.000440105,0.000194737,0.00116278
20000,0.000440105,0.000242105,0.000754784
20000,0.000440105,0.000289474,0.00052953
20000,0.000440105,0.000336842,0.000392165
20000,0.000440105,0.000384211,0.00030222
20000,0.000440105,0.000431579,0.000240121
20000,0.000440105,0.000478947,0.000195417
20000,0.000440105,0.000526316,0.000162234
20000,0.000440105,0.000573684,0.000136838
20000,0.000440105,0.000621053,0.000117
20000,0.000440105,0.000668421,0.000101192
20000,0.000440105,0.000715789,8.84E-05
20000,0.000440105,0.000763158,7.79E-05
20000,0.000440105,0.000810526,6.92E-05
20000,0.000440105,0.000857895,6.19E-05
20000,0.000440105,0.000905263,5.57E-05
20000,0.000440105,0.000952632,5.03E-05
20000,0.000440105,0.001,4.58E-05
20000,0.000475842,0.0001,0.00403297
20000,0.000475842,0.000147368,0.0018711
20000,0.000475842,0.000194737,0.00107574
20000,0.000475842,0.000242105,0.0006983
20000,0.000475842,0.000289474,0.000489916
20000,0.000475842,0.000336842,0.000362799
20000,0.000475842,0.000384211,0.00027959
20000,0.000475842,0.000431579,0.000222139
20000,0.000475842,0.000478947,0.000180787
20000,0.000475842,0.000526316,0.000150089
20000,0.000475842,0.000573684,0.000126599
20000,0.000475842,0.000621053,0.000108249
20000,0.000475842,0.000668421,9.36E-05
20000,0.000475842,0.000715789,8.18E-05
20000,0.000475842,0.000763158,7.21E-05
20000,0.000475842,0.000810526,6.40E-05
20000,0.000475842,0.000857895,5.72E-05
20000,0.000475842,0.000905263,5.15E-05
20000,0.000475842,0.000952632,4.66E-05
20000,0.000475842,0.001,4.23E-05
20000,0.000511579,0.0001,0.00375197
20000,0.000511579,0.000147368,0.00174086
20000,0.000511579,0.000194737,0.00100084
20000,0.000511579,0.000242105,0.000649656
20000,0.000511579,0.000289474,0.000455789
20000,0.000511579,0.000336842,0.000337529
20000,0.000511579,0.000384211,0.000260133
20000,0.000511579,0.000431579,0.000206672
20000,0.000511579,0.000478947,0.000168204
20000,0.000511579,0.000526316,0.000139635
20000,0.000511579,0.000573684,0.000117782
20000,0.000511579,0.000621053,0.000100704
20000,0.000511579,0.000668421,8.71E-05
20000,0.000511579,0.000715789,7.61E-05
20000,0.000511579,0.000763158,6.71E-05
20000,0.000511579,0.000810526,5.96E-05
20000,0.000511579,0.000857895,5.33E-05
20000,0.000511579,0.000905263,4.79E-05
