fsw,cap,ind,pl_i_cu
20000.0,0.00026142105263157896,0.0003368421052631579,3.1014
20000.0,0.00026142105263157896,0.00038421052631578946,3.31054
20000.0,0.00026142105263157896,0.0004315789473684211,3.50748
20000.0,0.00026142105263157896,0.00047894736842105264,3.69393
20000.0,0.00026142105263157896,0.0005263157894736842,3.8974
20000.0,0.00026142105263157896,0.0005736842105263159,4.0685
20000.0,0.00026142105263157896,0.0006210526315789474,4.23262
20000.0,0.00026142105263157896,0.000668421052631579,4.39074
20000.0,0.00026142105263157896,0.0007157894736842105,4.54329
20000.0,0.00026142105263157896,0.0007631578947368422,4.69091
20000.0,0.00026142105263157896,0.0008105263157894738,4.83406
20000.0,0.00026142105263157896,0.0008578947368421053,4.9731
20000.0,0.00026142105263157896,0.0009052631578947369,5.1084
20000.0,0.00026142105263157896,0.0009526315789473685,5.24016
20000.0,0.00026142105263157896,0.001,5.36874
20000.0,0.0002971578947368421,0.0001,1.44243
20000.0,0.0002971578947368421,0.00014736842105263158,2.07127
20000.0,0.0002971578947368421,0.00019473684210526317,2.36838
20000.0,0.0002971578947368421,0.00024210526315789473,2.63485
20000.0,0.0002971578947368421,0.00028947368421052634,2.87728
20000.0,0.0002971578947368421,0.0003368421052631579,3.10142
20000.0,0.0002971578947368421,0.00038421052631578946,3.31065
20000.0,0.0002971578947368421,0.0004315789473684211,3.50754
20000.0,0.0002971578947368421,0.00047894736842105264,3.69392
20000.0,0.0002971578947368421,0.0005263157894736842,3.8974
20000.0,0.0002971578947368421,0.0005736842105263159,4.06851
20000.0,0.0002971578947368421,0.0006210526315789474,4.23264
20000.0,0.0002971578947368421,0.000668421052631579,4.39068
20000.0,0.0002971578947368421,0.0007157894736842105,4.54323
20000.0,0.0002971578947368421,0.0007631578947368422,4.69092
20000.0,0.0002971578947368421,0.0008105263157894738,4.83407
20000.0,0.0002971578947368421,0.0008578947368421053,4.97314
20000.0,0.0002971578947368421,0.0009052631578947369,5.10839
20000.0,0.0002971578947368421,0.0009526315789473685,5.24012
20000.0,0.0002971578947368421,0.001,5.36876
20000.0,0.00033289473684210526,0.0001,1.44239
20000.0,0.00033289473684210526,0.00014736842105263158,2.07123
20000.0,0.00033289473684210526,0.00019473684210526317,2.36844
20000.0,0.00033289473684210526,0.00024210526315789473,2.6347
20000.0,0.00033289473684210526,0.00028947368421052634,2.87722
20000.0,0.00033289473684210526,0.0003368421052631579,3.10131
20000.0,0.00033289473684210526,0.00038421052631578946,3.31056
20000.0,0.00033289473684210526,0.0004315789473684211,3.50748
20000.0,0.00033289473684210526,0.00047894736842105264,3.69389
20000.0,0.00033289473684210526,0.0005263157894736842,3.8974
20000.0,0.00033289473684210526,0.0005736842105263159,4.06851
20000.0,0.00033289473684210526,0.0006210526315789474,4.23266
20000.0,0.00033289473684210526,0.000668421052631579,4.39072
20000.0,0.00033289473684210526,0.0007157894736842105,4.54327
20000.0,0.00033289473684210526,0.0007631578947368422,4.69091
20000.0,0.00033289473684210526,0.0008105263157894738,4.83408
20000.0,0.00033289473684210526,0.0008578947368421053,4.97312
20000.0,0.00033289473684210526,0.0009052631578947369,5.10838
20000.0,0.00033289473684210526,0.0009526315789473685,5.24009
20000.0,0.00033289473684210526,0.001,5.36874
20000.0,0.0003686315789473684,0.0001,1.44244
20000.0,0.0003686315789473684,0.00014736842105263158,2.07124
20000.0,0.0003686315789473684,0.00019473684210526317,2.36843
20000.0,0.0003686315789473684,0.00024210526315789473,2.63462
20000.0,0.0003686315789473684,0.00028947368421052634,2.87742
20000.0,0.0003686315789473684,0.0003368421052631579,3.1014
20000.0,0.0003686315789473684,0.00038421052631578946,3.31056
20000.0,0.0003686315789473684,0.0004315789473684211,3.50744
20000.0,0.0003686315789473684,0.00047894736842105264,3.69401
20000.0,0.0003686315789473684,0.0005263157894736842,3.89743
20000.0,0.0003686315789473684,0.0005736842105263159,4.06848
20000.0,0.0003686315789473684,0.0006210526315789474,4.2326
20000.0,0.0003686315789473684,0.000668421052631579,4.39071
