part_no,value,volume,ESR,ESL
EKZE250Exx331MH15D/EKZE250Exx331MH15D,660,1.508,33.76013944373538,6.65e-08
EKZE250Exx331MH15D/EKZE250Exx331MJC5S,660,1.736,33.76013944373538,6.65e-08
EKZE250Exx331MH15D/EKZE250Exx470ME11D,377,0.97,59.102631386910744,1.164e-07
EKZE250Exx331MJC5S/EKZE250Exx331MJC5S,660,1.963,33.76013944373538,6.65e-08
EKZE250Exx331MJC5S/EKZE250Exx470ME11D,377,1.198,59.102631386910744,1.164e-07
EKZE250Exx470ME11D/EKZE250Exx470ME11D,94,0.432,237.03927694537606,4.669e-07
EKZE250Exx470ME11D/EKZE250Exx471MH20D,517,1.221,43.098050353704735,8.49e-08
EKZE250Exx470ME11D/EKZE250Exx471MJ16S,517,1.473,43.098050353704735,8.49e-08
EKZE250Exx101MF11D+EKZE250Exx101MF11D/EKZE250Exx101MF11D,150.0,1.029,148.54461355243566,2.926e-07
EKZE250Exx101MF11D+EKZE250Exx102MK20S/EKZE250Exx101MF11D,190.9090909090909,3.14,116.7136249340566,2.299e-07
EKZE250Exx101MF11D+EKZE250Exx152MK25S/EKZE250Exx101MF11D,193.75,3.754,115.0022814599502,2.265e-07
EKZE250Exx101MF11D+EKZE250Exx182MK30S/EKZE250Exx101MF11D,194.73684210526318,4.367,114.41949962822746,2.254e-07
EKZE250Exx101MF11D+EKZE250Exx182ML20S/EKZE250Exx101MF11D,194.73684210526318,4.707,114.41949962822746,2.254e-07
EKZE250Exx101MF11D+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,168.75,1.264,132.03965649105393,2.601e-07
EKZE250Exx101MF11D+EKZE250Exx222MK35S/EKZE250Exx101MF11D,195.6521739130435,4.981,113.884203723534,2.243e-07
EKZE250Exx101MF11D+EKZE250Exx272ML25S/EKZE250Exx101MF11D,196.42857142857144,5.712,113.43406853095088,2.234e-07
EKZE250Exx101MF11D+EKZE250Exx331MH15D/EKZE250Exx101MF11D,176.74418604651163,1.44,126.06746808068554,2.483e-07
EKZE250Exx101MF11D+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,176.74418604651163,1.668,126.06746808068554,2.483e-07
EKZE250Exx101MF11D+EKZE250Exx470ME11D/EKZE250Exx101MF11D,131.97278911564626,0.902,168.83550148614466,3.326e-07
EKZE250Exx101MF11D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,182.4561403508772,1.691,122.12081210320433,2.406e-07
EKZE250Exx101MF11D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,182.4561403508772,1.942,122.12081210320433,2.406e-07
EKZE250Exx101MF11D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,187.17948717948718,2.257,119.03917661393817,2.345e-07
EKZE250Exx101MF11D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,189.1304347826087,2.649,117.8112452312421,2.321e-07
EKZE250Exx102MK20S+EKZE250Exx102MK20S/EKZE250Exx101MF11D,600.0,5.252,37.136153388108916,7.32e-08
EKZE250Exx102MK20S+EKZE250Exx152MK25S/EKZE250Exx101MF11D,700.0,5.865,31.830988618379077,6.27e-08
EKZE250Exx102MK20S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,280.327868852459,3.375,79.48439847981209,1.566e-07
EKZE250Exx102MK20S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,348.1203007518797,3.551,64.00572441406247,1.261e-07
EKZE250Exx102MK20S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,348.1203007518797,3.779,64.00572441406247,1.261e-07
EKZE250Exx102MK20S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,144.8901623686724,3.013,153.7833326197101,3.029e-07
EKZE250Exx102MK20S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,419.7278911564626,3.803,53.08604098591907,1.046e-07
EKZE250Exx102MK20S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,419.7278911564626,4.054,53.08604098591907,1.046e-07
EKZE250Exx102MK20S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,504.76190476190476,4.368,44.142974782091734,8.7e-08
EKZE250Exx102MK20S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,550.5494505494505,4.761,40.47173602775942,7.97e-08
EKZE250Exx152MK25S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,291.8604651162791,3.989,76.34364600902072,1.504e-07
EKZE250Exx152MK25S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,370.4918032786885,4.165,60.14085017720294,1.185e-07
EKZE250Exx152MK25S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,370.4918032786885,4.393,60.14085017720294,1.185e-07
EKZE250Exx152MK25S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,145.57207498383968,3.627,153.06295548331573,3.015e-07
EKZE250Exx152MK25S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,457.8680203045685,4.416,48.664005881091725,9.59e-08
EKZE250Exx152MK25S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,457.8680203045685,4.667,48.664005881091725,9.59e-08
EKZE250Exx152MK25S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,567.8899082568807,4.982,39.235935889859824,7.73e-08
EKZE250Exx152MK25S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,630.1724137931035,5.374,35.358088588404655,6.96e-08
EKZE250Exx182MK30S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,296.03960396039605,4.603,75.26591623141807,1.483e-07
EKZE250Exx182MK30S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,378.8732394366197,4.778,58.810413915741265,1.158e-07
EKZE250Exx182MK30S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,378.8732394366197,5.006,58.810413915741265,1.158e-07
EKZE250Exx182MK30S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,145.80400649702221,4.24,152.8194771062098,3.01e-07
EKZE250Exx182MK30S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,472.68722466960355,5.03,47.13834195210097,9.29e-08
EKZE250Exx182MK30S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,472.68722466960355,5.281,47.13834195210097,9.29e-08
EKZE250Exx182MK30S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,593.5483870967741,5.595,37.539807229284015,7.39e-08
EKZE250Exx182MK30S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,663.3587786259542,5.988,33.58920202883039,6.62e-08
EKZE250Exx182ML20S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,296.03960396039605,4.942,75.26591623141807,1.483e-07
EKZE250Exx182ML20S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,378.8732394366197,5.118,58.810413915741265,1.158e-07
EKZE250Exx182ML20S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,378.8732394366197,5.346,58.810413915741265,1.158e-07
EKZE250Exx182ML20S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,145.80400649702221,4.58,152.8194771062098,3.01e-07
EKZE250Exx182ML20S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,472.68722466960355,5.369,47.13834195210097,9.29e-08
EKZE250Exx182ML20S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,472.68722466960355,5.621,47.13834195210097,9.29e-08
EKZE250Exx182ML20S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,593.5483870967741,5.935,37.539807229284015,7.39e-08
EKZE250Exx182ML20S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,663.3587786259542,6.328,33.58920202883039,6.62e-08
EKZE250Exx221MHB5D+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,210.0,1.499,106.1032953945969,2.09e-07
EKZE250Exx221MHB5D+EKZE250Exx222MK35S/EKZE250Exx101MF11D,300.0,5.216,74.27230677621783,1.463e-07
EKZE250Exx221MHB5D+EKZE250Exx272ML25S/EKZE250Exx101MF11D,303.42465753424653,5.947,73.43401888935308,1.446e-07
EKZE250Exx221MHB5D+EKZE250Exx331MH15D/EKZE250Exx101MF11D,232.0,1.675,96.04177600372995,1.892e-07
EKZE250Exx221MHB5D+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,232.0,1.903,96.04177600372995,1.892e-07
EKZE250Exx221MHB5D+EKZE250Exx470ME11D/EKZE250Exx101MF11D,138.72659176029964,1.137,160.61586859543866,3.164e-07
EKZE250Exx221MHB5D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,249.85507246376812,1.926,89.17846579279055,1.757e-07
EKZE250Exx221MHB5D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,249.85507246376812,2.178,89.17846579279055,1.757e-07
EKZE250Exx221MHB5D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,266.22222222222223,2.492,83.69583818688987,1.649e-07
EKZE250Exx221MHB5D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,273.46153846153845,2.884,81.48016777137822,1.605e-07
EKZE250Exx222MK35S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,386.95652173913044,5.392,57.58190075909023,1.134e-07
EKZE250Exx222MK35S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,386.95652173913044,5.62,57.58190075909023,1.134e-07
EKZE250Exx222MK35S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,146.01691143747217,4.854,152.59665345275357,3.006e-07
EKZE250Exx222MK35S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,487.26591760299624,5.643,45.72799210434319,9.01e-08
EKZE250Exx222MK35S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,487.26591760299624,5.895,45.72799210434319,9.01e-08
EKZE250Exx222MK35S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,619.4444444444445,6.209,35.970444537361104,7.09e-08
EKZE250Exx222MK35S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,697.3509933774834,6.602,31.951904054726196,6.29e-08
EKZE250Exx272ML25S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,394.05940594059405,6.123,56.54399234470855,1.114e-07
EKZE250Exx272ML25S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,394.05940594059405,6.351,56.54399234470855,1.114e-07
EKZE250Exx272ML25S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,146.19585001820167,5.585,152.4098805136482,3.002e-07
EKZE250Exx272ML25S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,500.3154574132492,6.375,44.535286093432006,8.77e-08
EKZE250Exx272ML25S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,500.3154574132492,6.626,44.535286093432006,8.77e-08
EKZE250Exx272ML25S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,643.1952662721893,6.94,34.64218908513565,6.82e-08
EKZE250Exx331MH15D+EKZE250Exx331MH15D/EKZE250Exx101MF11D,265.0,1.851,84.08185672779378,1.656e-07
EKZE250Exx331MH15D+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,265.0,2.079,84.08185672779378,1.656e-07
EKZE250Exx331MH15D+EKZE250Exx470ME11D/EKZE250Exx101MF11D,141.14058355437666,1.313,157.8687821159601,3.11e-07
EKZE250Exx331MH15D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,293.875,2.102,75.82030466308925,1.493e-07
EKZE250Exx331MH15D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,293.875,2.354,75.82030466308925,1.493e-07
EKZE250Exx331MH15D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,322.17821782178214,2.668,69.15952351934236,1.362e-07
EKZE250Exx331MH15D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,335.304347826087,3.06,66.45214169552683,1.309e-07
EKZE250Exx331MJC5S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,265.0,2.306,84.08185672779378,1.656e-07
EKZE250Exx331MJC5S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,141.14058355437666,1.541,157.8687821159601,3.11e-07
EKZE250Exx331MJC5S+EKZE250Exx471MH20D/EKZE250Exx101MF11D,293.875,2.33,75.82030466308925,1.493e-07
EKZE250Exx331MJC5S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,293.875,2.581,75.82030466308925,1.493e-07
EKZE250Exx331MJC5S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,322.17821782178214,2.895,69.15952351934236,1.362e-07
EKZE250Exx331MJC5S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,335.304347826087,3.288,66.45214169552683,1.309e-07
EKZE250Exx470ME11D+EKZE250Exx470ME11D/EKZE250Exx101MF11D,123.5,0.775,180.41855897056965,3.554e-07
EKZE250Exx470ME11D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,142.72727272727272,1.564,156.11376583536233,3.075e-07
EKZE250Exx470ME11D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,142.72727272727272,1.816,156.11376583536233,3.075e-07
EKZE250Exx470ME11D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,143.9614855570839,2.13,154.7753688887169,3.049e-07
