part_no,value,volume,ESR,ESL
EKZE250Exx101MF11D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,182.4561404,1.942,122.1208121,2.41E-07
EKZE250Exx101MF11D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,187.1794872,2.257,119.0391766,2.35E-07
EKZE250Exx101MF11D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,189.1304348,2.649,117.8112452,2.32E-07
EKZE250Exx101MF11D+EKZE250Exx102MK20S/EKZE250Exx101MF11D,190.9090909,3.14,116.7136249,2.30E-07
EKZE250Exx152MK25S+EKZE250Exx221MHB5D,191.8604651,3.646,116.1348797,2.29E-07
EKZE250Exx101MF11D+EKZE250Exx152MK25S/EKZE250Exx101MF11D,193.75,3.754,115.0022815,2.27E-07
EKZE250Exx331MH15D+EKZE250Exx471MH20D,193.875,1.759,114.9281343,2.26E-07
EKZE250Exx331MH15D+EKZE250Exx471MJ16S,193.875,2.011,114.9281343,2.26E-07
EKZE250Exx331MJC5S+EKZE250Exx471MH20D,193.875,1.987,114.9281343,2.26E-07
EKZE250Exx331MJC5S+EKZE250Exx471MJ16S,193.875,2.238,114.9281343,2.26E-07
EKZE250Exx101MF11D+EKZE250Exx182MK30S/EKZE250Exx101MF11D,194.7368421,4.367,114.4194996,2.25E-07
EKZE250Exx101MF11D+EKZE250Exx182ML20S/EKZE250Exx101MF11D,194.7368421,4.707,114.4194996,2.25E-07
EKZE250Exx101MF11D+EKZE250Exx222MK35S/EKZE250Exx101MF11D,195.6521739,4.981,113.8842037,2.24E-07
EKZE250Exx182MK30S+EKZE250Exx221MHB5D,196.039604,4.26,113.6591361,2.24E-07
EKZE250Exx182ML20S+EKZE250Exx221MHB5D,196.039604,4.599,113.6591361,2.24E-07
EKZE250Exx101MF11D+EKZE250Exx272ML25S/EKZE250Exx101MF11D,196.4285714,5.712,113.4340685,2.23E-07
EKZE250Exx221MHB5D+EKZE250Exx471MH20D/EKZE250Exx470ME11D,196.8550725,1.799,113.1883053,2.23E-07
EKZE250Exx221MHB5D+EKZE250Exx471MJ16S/EKZE250Exx470ME11D,196.8550725,2.051,113.1883053,2.23E-07
EKZE250Exx221MHB5D+EKZE250Exx222MK35S,200,4.873,111.4084602,2.19E-07
EKZE250Exx101MF11D/EKZE250Exx101MF11D,200,0.686,111.4084602,2.19E-07
EKZE250Exx221MHB5D+EKZE250Exx272ML25S,203.4246575,5.605,109.5328969,2.16E-07
EKZE250Exx221MHB5D+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,210,1.499,106.1032954,2.09E-07
EKZE250Exx331MH15D+EKZE250Exx331MH15D/EKZE250Exx470ME11D,212,1.724,105.1023209,2.07E-07
EKZE250Exx331MH15D+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,212,1.952,105.1023209,2.07E-07
EKZE250Exx331MJC5S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,212,2.179,105.1023209,2.07E-07
EKZE250Exx221MHB5D+EKZE250Exx681MJ20S/EKZE250Exx470ME11D,213.2222222,2.365,104.4998584,2.06E-07
EKZE250Exx221MHB5D,220,0.578,101.2804183,2.00E-07
EKZE250Exx221MHB5D+EKZE250Exx821MJ25S/EKZE250Exx470ME11D,220.4615385,2.758,101.0683868,1.99E-07
EKZE250Exx331MH15D+EKZE250Exx681MJ20S,222.1782178,2.325,100.2874731,1.98E-07
EKZE250Exx331MJC5S+EKZE250Exx681MJ20S,222.1782178,2.553,100.2874731,1.98E-07
EKZE250Exx102MK20S+EKZE250Exx221MHB5D/EKZE250Exx470ME11D,227.3278689,3.248,98.01566409,1.93E-07
EKZE250Exx221MHB5D+EKZE250Exx331MH15D/EKZE250Exx101MF11D,232,1.675,96.041776,1.89E-07
EKZE250Exx221MHB5D+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,232,1.903,96.041776,1.89E-07
EKZE250Exx471MH20D+EKZE250Exx471MH20D,235,2.011,94.81571078,1.87E-07
EKZE250Exx471MH20D+EKZE250Exx471MJ16S,235,2.262,94.81571078,1.87E-07
EKZE250Exx471MJ16S+EKZE250Exx471MJ16S,235,2.513,94.81571078,1.87E-07
EKZE250Exx331MH15D+EKZE250Exx821MJ25S,235.3043478,2.717,94.69307405,1.87E-07
EKZE250Exx331MJC5S+EKZE250Exx821MJ25S,235.3043478,2.945,94.69307405,1.87E-07
EKZE250Exx152MK25S+EKZE250Exx221MHB5D/EKZE250Exx470ME11D,238.8604651,3.862,93.28329836,1.84E-07
EKZE250Exx331MH15D+EKZE250Exx471MH20D/EKZE250Exx470ME11D,240.875,1.975,92.50313247,1.82E-07
EKZE250Exx331MH15D+EKZE250Exx471MJ16S/EKZE250Exx470ME11D,240.875,2.227,92.50313247,1.82E-07
EKZE250Exx331MJC5S+EKZE250Exx471MH20D/EKZE250Exx470ME11D,240.875,2.203,92.50313247,1.82E-07
EKZE250Exx331MJC5S+EKZE250Exx471MJ16S/EKZE250Exx470ME11D,240.875,2.454,92.50313247,1.82E-07
EKZE250Exx182MK30S+EKZE250Exx221MHB5D/EKZE250Exx470ME11D,243.039604,4.476,91.67926408,1.81E-07
EKZE250Exx182ML20S+EKZE250Exx221MHB5D/EKZE250Exx470ME11D,243.039604,4.815,91.67926408,1.81E-07
EKZE250Exx470ME11D+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,243.5,1.01,91.50592211,1.80E-07
EKZE250Exx221MHB5D+EKZE250Exx222MK35S/EKZE250Exx470ME11D,247,5.089,90.20927949,1.78E-07
EKZE250Exx102MK20S+EKZE250Exx331MH15D,248.1203008,3.208,89.80197092,1.77E-07
EKZE250Exx102MK20S+EKZE250Exx331MJC5S,248.1203008,3.436,89.80197092,1.77E-07
EKZE250Exx221MHB5D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,249.8550725,1.926,89.17846579,1.76E-07
EKZE250Exx221MHB5D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,249.8550725,2.178,89.17846579,1.76E-07
EKZE250Exx221MHB5D+EKZE250Exx272ML25S/EKZE250Exx470ME11D,250.4246575,5.821,88.97563144,1.75E-07
EKZE250Exx101MF11D+EKZE250Exx470ME11D/EKZE250Exx221MHB5D,251.9727891,1.137,88.42896136,1.74E-07
